general_section_id,rule,applies_to_section_id,note
1,บทนิยาม,,นิยามเชื่อมเฉพาะมาตราที่ใช้ถ้อยคำนั้น (selective) — คัดเลือกด้วยมือ
2,การใช้กฎหมายอาญา (เขตอำนาจ/ไม่ย้อนหลัง),,กฎการใช้บังคับทั่วไป — โดยหลักใช้กับทุกความผิด แต่มักไม่ต้องทำเป็น edge ต่อมาตรา; ทบทวนว่าต้องการเชื่อมหรือไม่
14,การใช้กฎหมายอาญา (เขตอำนาจ/ไม่ย้อนหลัง),,กฎการใช้บังคับทั่วไป — โดยหลักใช้กับทุกความผิด แต่มักไม่ต้องทำเป็น edge ต่อมาตรา; ทบทวนว่าต้องการเชื่อมหรือไม่
15,การใช้กฎหมายอาญา (เขตอำนาจ/ไม่ย้อนหลัง),,กฎการใช้บังคับทั่วไป — โดยหลักใช้กับทุกความผิด แต่มักไม่ต้องทำเป็น edge ต่อมาตรา; ทบทวนว่าต้องการเชื่อมหรือไม่
16,การใช้กฎหมายอาญา (เขตอำนาจ/ไม่ย้อนหลัง),,กฎการใช้บังคับทั่วไป — โดยหลักใช้กับทุกความผิด แต่มักไม่ต้องทำเป็น edge ต่อมาตรา; ทบทวนว่าต้องการเชื่อมหรือไม่
17,การใช้กฎหมายอาญา (เขตอำนาจ/ไม่ย้อนหลัง),,กฎการใช้บังคับทั่วไป — โดยหลักใช้กับทุกความผิด แต่มักไม่ต้องทำเป็น edge ต่อมาตรา; ทบทวนว่าต้องการเชื่อมหรือไม่
18,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
19,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
20,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
21,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
22,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
23,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
24,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
25,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
26,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
27,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
28,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
29,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
29/1,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
30,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
30/1,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
30/2,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
30/3,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
31,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
32,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
33,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
34,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
35,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
36,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
37,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
38,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
39,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
40,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
41,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
42,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
43,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
44,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
45,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
46,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
47,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
48,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
49,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
50,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
51,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
52,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
53,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
54,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
55,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
56,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
57,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
58,โทษและวิธีการเพื่อความปลอดภัย (กรอบโทษ),,กรอบการลงโทษ/รอลงโทษ/วิธีการเพื่อความปลอดภัย — เป็นระบบโทษทั่วไป ไม่ใช่ APPLIES_TO รายมาตราโดยตรง; ทบทวน
